year,statements_docs,statements_chars,minutes_docs,minutes_chars,beigebook_docs,beigebook_chars
1994,6,4367,8,328311,0,0
1995,3,1949,8,310025,0,0
1996,1,939,8,284273,2,166409
1997,1,897,8,276557,8,667345
1998,3,2597,8,308130,8,695529
1999,6,7006,8,283962,8,714260
2000,8,9248,8,253120,8,749113
2001,11,15669,8,273365,8,781779
2002,8,10127,8,238716,8,783662
2003,8,11208,8,236000,8,820208
2004,8,12999,8,242579,8,801386
2005,8,14644,8,222018,8,790013
2006,8,12759,8,231205,8,813350
2007,10,12933,8,276954,8,819791
2008,11,22464,8,357067,8,840117
2009,8,23526,8,409572,8,884323
2010,9,26170,8,391767,8,851554
2011,8,25794,8,412606,8,829425
2012,8,27287,8,405716,8,805787
2013,8,39483,8,430231,8,795686
2014,8,45267,8,452998,8,833267
2015,8,31306,8,464025,8,794686
2016,8,30292,8,514239,8,777978
2017,8,27927,8,464239,8,801161
2018,8,18948,8,444397,8,813586
2019,9,23570,8,559007,8,818526
2020,10,30024,8,530223,8,873753
2021,8,26712,8,513102,8,875838
2022,8,19176,8,468865,8,872922
2023,8,18432,8,393972,8,864140
2024,8,18198,8,376236,8,838693
2025,8,17617,8,399065,8,847527
2026,6,8866,5,206790,6,646459
