id,char,count,share
0,'\n',156383,0.004246
1,' ',5391864,0.146412
2,'!',9,0.000000
3,"'""'",12592,0.000342
4,'$',2449,0.000067
5,'%',249,0.000007
6,'&',1127,0.000031
7,"""'""",18539,0.000503
8,'(',5676,0.000154
9,')',5683,0.000154
10,'*',31,0.000001
11,'+',4,0.000000
12,"','",290839,0.007897
13,'-',77383,0.002101
14,'.',297288,0.008073
15,'/',2895,0.000079
16,'0',33325,0.000905
17,'1',24487,0.000665
18,'2',32120,0.000872
19,'3',8239,0.000224
20,'4',7209,0.000196
21,'5',9108,0.000247
22,'6',4618,0.000125
23,'7',4083,0.000111
24,'8',4008,0.000109
25,'9',9763,0.000265
26,':',4144,0.000113
27,';',11239,0.000305
28,'=',5,0.000000
29,'?',7,0.000000
30,'A',61682,0.001675
31,'B',39056,0.001061
32,'C',73905,0.002007
33,'D',61932,0.001682
34,'E',26422,0.000717
35,'F',37517,0.001019
36,'G',13045,0.000354
37,'H',16403,0.000445
38,'I',28228,0.000767
39,'J',17640,0.000479
40,'K',6000,0.000163
41,'L',16834,0.000457
42,'M',66833,0.001815
43,'N',24101,0.000654
44,'O',30367,0.000825
45,'P',26971,0.000732
46,'Q',397,0.000011
47,'R',43716,0.001187
48,'S',63384,0.001721
49,'T',47730,0.001296
50,'U',7034,0.000191
51,'V',8043,0.000218
52,'W',15403,0.000418
53,'X',82,0.000002
54,'Y',7421,0.000202
55,'Z',305,0.000008
56,'[',132,0.000004
57,']',132,0.000004
58,'_',29,0.000001
59,'`',1,0.000000
60,'a',2380197,0.064632
61,'b',316756,0.008601
62,'c',1196157,0.032481
63,'d',1209225,0.032836
64,'e',3791389,0.102952
65,'f',554840,0.015066
66,'g',617258,0.016761
67,'h',949547,0.025784
68,'i',2263150,0.061454
69,'j',22976,0.000624
70,'k',165685,0.004499
71,'l',1177887,0.031985
72,'m',777148,0.021103
73,'n',2314429,0.062846
74,'o',2152347,0.058445
75,'p',707088,0.019200
76,'q',30399,0.000825
77,'r',2237326,0.060753
78,'s',2026636,0.055032
79,'t',2725881,0.074019
80,'u',775165,0.021049
81,'v',350187,0.009509
82,'w',387825,0.010531
83,'x',85881,0.002332
84,'y',441141,0.011979
85,'z',14122,0.000383
