iter,train_loss,lr,ms_per_iter
0,4.5425,9.90e-06,326
10,3.4305,1.09e-04,196
20,2.9692,2.08e-04,202
30,2.7081,3.07e-04,203
40,2.5378,4.06e-04,200
50,2.4633,5.05e-04,206
60,2.4075,6.04e-04,205
70,2.3853,7.03e-04,215
80,2.3292,8.02e-04,206
90,2.2437,9.01e-04,206
100,2.1883,1.00e-03,469
110,2.1181,1.00e-03,203
120,1.9810,9.99e-04,205
130,1.9513,9.98e-04,204
140,1.8572,9.96e-04,205
150,1.7841,9.93e-04,204
160,1.7092,9.90e-04,203
170,1.6487,9.87e-04,202
180,1.5781,9.83e-04,203
190,1.5436,9.78e-04,206
200,1.4883,9.73e-04,467
210,1.4220,9.67e-04,206
220,1.3940,9.61e-04,207
230,1.3739,9.54e-04,214
240,1.3323,9.47e-04,208
250,1.3392,9.40e-04,211
260,1.2822,9.32e-04,207
270,1.2410,9.23e-04,210
280,1.2226,9.14e-04,214
290,1.1971,9.05e-04,207
300,1.2164,8.95e-04,476
310,1.2118,8.84e-04,216
320,1.2027,8.74e-04,214
330,1.2038,8.63e-04,215
340,1.1425,8.51e-04,210
350,1.1455,8.39e-04,213
360,1.1359,8.27e-04,225
370,1.1158,8.15e-04,220
380,1.1165,8.02e-04,214
390,1.1357,7.88e-04,212
400,1.1093,7.75e-04,512
410,1.1104,7.61e-04,223
420,1.0995,7.47e-04,211
430,1.0621,7.33e-04,215
440,1.0830,7.19e-04,214
450,1.0856,7.04e-04,215
460,1.0618,6.89e-04,214
470,1.0598,6.74e-04,213
480,1.0107,6.59e-04,226
490,1.0358,6.44e-04,214
500,1.0205,6.28e-04,471
510,1.0116,6.13e-04,207
520,1.0159,5.97e-04,210
530,1.0214,5.81e-04,206
540,0.9947,5.66e-04,207
550,0.9805,5.50e-04,206
560,1.0212,5.34e-04,205
570,0.9903,5.19e-04,206
580,0.9648,5.03e-04,207
590,0.9871,4.87e-04,206
600,0.9773,4.72e-04,468
610,0.9733,4.56e-04,208
620,0.9575,4.41e-04,206
630,0.9872,4.26e-04,207
640,0.9528,4.11e-04,206
650,0.9640,3.96e-04,211
660,0.9264,3.81e-04,208
670,0.9404,3.67e-04,207
680,0.9422,3.53e-04,207
690,0.9541,3.39e-04,208
700,0.9349,3.25e-04,473
710,0.9204,3.12e-04,208
720,0.9430,2.98e-04,206
730,0.9398,2.85e-04,207
740,0.9263,2.73e-04,209
750,0.9170,2.61e-04,207
760,0.8900,2.49e-04,207
770,0.9294,2.37e-04,207
780,0.9066,2.26e-04,212
790,0.9033,2.16e-04,206
800,0.8872,2.05e-04,471
810,0.9070,1.95e-04,208
820,0.8914,1.86e-04,207
830,0.8951,1.77e-04,203
840,0.9124,1.68e-04,206
850,0.8976,1.60e-04,206
860,0.8847,1.53e-04,208
870,0.8906,1.46e-04,204
880,0.8691,1.39e-04,205
890,0.9037,1.33e-04,207
900,0.8859,1.27e-04,514
910,0.8920,1.22e-04,228
920,0.8744,1.17e-04,229
930,0.8891,1.13e-04,227
940,0.9008,1.10e-04,229
950,0.8657,1.07e-04,228
960,0.9007,1.04e-04,227
970,0.8770,1.02e-04,226
980,0.9059,1.01e-04,227
990,0.8883,1.00e-04,225
