iter,train_loss,lr,ms_per_iter
0,4.4609,2.97e-05,396
10,3.1558,3.27e-04,242
20,2.7106,6.24e-04,261
30,2.5199,9.21e-04,252
40,2.4870,1.22e-03,253
50,2.4601,1.51e-03,259
60,2.4481,1.81e-03,268
70,2.4296,2.11e-03,270
80,2.4148,2.41e-03,275
90,2.4209,2.70e-03,276
100,2.4311,3.00e-03,677
110,2.4341,3.00e-03,298
120,2.3889,3.00e-03,304
130,2.3706,2.99e-03,289
140,2.3385,2.99e-03,279
150,2.2658,2.98e-03,286
160,2.1080,2.97e-03,289
170,1.9964,2.96e-03,282
180,1.8583,2.95e-03,281
190,1.7419,2.93e-03,298
200,1.6760,2.92e-03,764
210,1.5722,2.90e-03,297
220,1.5279,2.88e-03,292
230,1.4522,2.86e-03,296
240,1.3922,2.84e-03,296
250,1.3419,2.82e-03,294
260,1.3619,2.79e-03,300
270,1.3038,2.77e-03,296
280,1.2583,2.74e-03,286
290,1.2753,2.71e-03,296
300,1.2581,2.68e-03,1698
310,1.2560,2.65e-03,456
320,1.2684,2.62e-03,898
330,1.1557,2.59e-03,302
340,1.1679,2.55e-03,309
350,1.1469,2.52e-03,296
360,1.1580,2.48e-03,296
370,1.1144,2.44e-03,293
380,1.1450,2.40e-03,295
390,1.1663,2.37e-03,293
400,1.0801,2.32e-03,824
410,1.1132,2.28e-03,303
420,1.0801,2.24e-03,296
430,1.1226,2.20e-03,284
440,1.0754,2.16e-03,277
450,1.0979,2.11e-03,289
460,1.0909,2.07e-03,306
470,1.0757,2.02e-03,293
480,1.0834,1.98e-03,294
490,1.0973,1.93e-03,313
500,1.0573,1.88e-03,1790
510,1.0330,1.84e-03,412
520,1.0418,1.79e-03,446
530,1.0324,1.74e-03,313
540,1.0234,1.70e-03,292
550,1.0209,1.65e-03,311
560,0.9580,1.60e-03,779
570,0.9944,1.56e-03,333
580,0.9798,1.51e-03,556
590,1.0169,1.46e-03,360
600,0.9500,1.42e-03,1108
610,0.9592,1.37e-03,287
620,0.9553,1.32e-03,302
630,0.9316,1.28e-03,289
640,0.9671,1.23e-03,333
650,0.9245,1.19e-03,268
660,0.9200,1.14e-03,265
670,0.9342,1.10e-03,275
680,0.9586,1.06e-03,300
690,0.9426,1.02e-03,284
700,0.9272,9.75e-04,629
710,0.9400,9.35e-04,261
720,0.9439,8.95e-04,264
730,0.9197,8.56e-04,268
740,0.9263,8.19e-04,262
750,0.9292,7.82e-04,265
760,0.9088,7.47e-04,267
770,0.8794,7.12e-04,270
780,0.8785,6.79e-04,265
790,0.8942,6.47e-04,261
800,0.8664,6.16e-04,655
810,0.8804,5.86e-04,268
820,0.9015,5.58e-04,266
830,0.8787,5.31e-04,260
840,0.8884,5.05e-04,261
850,0.8568,4.81e-04,261
860,0.8786,4.58e-04,261
870,0.8770,4.37e-04,260
880,0.8639,4.17e-04,273
890,0.8082,3.98e-04,292
900,0.8591,3.81e-04,708
910,0.8433,3.66e-04,278
920,0.8407,3.52e-04,262
930,0.8393,3.40e-04,259
940,0.8843,3.30e-04,265
950,0.8324,3.21e-04,261
960,0.8388,3.13e-04,261
970,0.8557,3.07e-04,262
980,0.8467,3.03e-04,261
990,0.8191,3.01e-04,261
