iter,train_loss,lr,ms_per_iter
0,4.5765,2.97e-05,162751
10,2.8335,3.27e-04,1161
20,2.5749,6.24e-04,1259
30,2.4748,9.21e-04,1240
40,2.4624,1.22e-03,1221
50,2.4476,1.51e-03,1143
60,2.4206,1.81e-03,701
70,2.4294,2.11e-03,696
80,2.4208,2.41e-03,707
90,2.3975,2.70e-03,696
100,2.3727,3.00e-03,712
110,2.2709,3.00e-03,712
120,2.1877,3.00e-03,710
130,2.0854,3.00e-03,706
140,1.9399,3.00e-03,706
150,1.8026,3.00e-03,698
160,1.7721,2.99e-03,716
170,1.6610,2.99e-03,702
180,1.5651,2.99e-03,713
190,1.5385,2.99e-03,701
200,1.4582,2.98e-03,2549
210,1.4296,2.98e-03,700
220,1.3859,2.97e-03,710
230,1.3770,2.97e-03,700
240,1.3184,2.96e-03,697
250,1.2989,2.96e-03,695
260,1.2332,2.95e-03,693
270,1.2081,2.95e-03,695
280,1.2138,2.94e-03,699
290,1.2551,2.93e-03,692
300,1.1784,2.93e-03,679
310,1.1900,2.92e-03,731
320,1.1766,2.91e-03,664
330,1.1686,2.90e-03,665
340,1.1440,2.90e-03,667
350,1.1336,2.89e-03,678
360,1.1480,2.88e-03,683
370,1.0979,2.87e-03,683
380,1.1500,2.86e-03,683
390,1.1261,2.85e-03,743
400,1.1242,2.84e-03,2465
410,1.1048,2.83e-03,687
420,1.0536,2.82e-03,684
430,1.0972,2.80e-03,684
440,1.0971,2.79e-03,683
450,1.0763,2.78e-03,747
460,1.0406,2.77e-03,672
470,1.0574,2.76e-03,683
480,1.1010,2.74e-03,682
490,1.0405,2.73e-03,684
500,1.0664,2.72e-03,684
510,1.0344,2.70e-03,683
520,1.0791,2.69e-03,683
530,1.0077,2.67e-03,684
540,1.0503,2.66e-03,735
550,1.0151,2.64e-03,686
560,0.9839,2.63e-03,685
570,0.9725,2.61e-03,685
580,1.0104,2.60e-03,686
590,0.9871,2.58e-03,683
600,0.9744,2.56e-03,2542
610,0.9506,2.55e-03,688
620,1.0076,2.53e-03,689
630,0.9753,2.51e-03,684
640,0.9535,2.50e-03,677
650,0.9801,2.48e-03,683
660,0.9089,2.46e-03,684
670,0.9410,2.44e-03,687
680,0.9574,2.43e-03,736
690,0.9270,2.41e-03,694
700,0.9418,2.39e-03,687
710,0.9070,2.37e-03,688
720,0.9353,2.35e-03,689
730,0.9097,2.33e-03,689
740,0.9295,2.31e-03,689
750,0.9477,2.29e-03,693
760,0.9350,2.27e-03,746
770,0.9050,2.25e-03,693
780,0.8856,2.23e-03,705
790,0.9142,2.21e-03,703
800,0.9128,2.19e-03,2548
810,0.8875,2.17e-03,713
820,0.8839,2.15e-03,759
830,0.8565,2.13e-03,725
840,0.8942,2.11e-03,729
850,0.8686,2.09e-03,733
860,0.8685,2.07e-03,732
870,0.8736,2.05e-03,731
880,0.8667,2.02e-03,734
890,0.8651,2.00e-03,740
900,0.8544,1.98e-03,784
910,0.8641,1.96e-03,712
920,0.8723,1.94e-03,664
930,0.8628,1.92e-03,668
940,0.7985,1.89e-03,684
950,0.8521,1.87e-03,685
960,0.8183,1.85e-03,684
970,0.8243,1.83e-03,685
980,0.8187,1.81e-03,741
990,0.8165,1.78e-03,682
1000,0.7969,1.76e-03,2501
1010,0.8561,1.74e-03,673
1020,0.8485,1.72e-03,691
1030,0.7971,1.69e-03,695
1040,0.8404,1.67e-03,742
1050,0.8372,1.65e-03,702
1060,0.7728,1.63e-03,702
1070,0.7474,1.61e-03,701
1080,0.7873,1.58e-03,701
1090,0.7593,1.56e-03,703
1100,0.7895,1.54e-03,707
1110,0.8162,1.52e-03,713
1120,0.7953,1.49e-03,760
1130,0.8030,1.47e-03,723
1140,0.7666,1.45e-03,725
1150,0.7783,1.43e-03,730
1160,0.7718,1.41e-03,728
1170,0.8145,1.38e-03,728
1180,0.7638,1.36e-03,733
1190,0.7600,1.34e-03,739
1200,0.7910,1.32e-03,2591
1210,0.7427,1.30e-03,705
1220,0.7769,1.28e-03,712
1230,0.7552,1.25e-03,716
1240,0.7577,1.23e-03,724
1250,0.7717,1.21e-03,786
1260,0.7594,1.19e-03,725
1270,0.7549,1.17e-03,738
1280,0.7601,1.15e-03,759
1290,0.7527,1.13e-03,746
1300,0.7375,1.11e-03,747
1310,0.7071,1.09e-03,742
1320,0.7462,1.07e-03,748
1330,0.7215,1.05e-03,798
1340,0.7423,1.03e-03,755
1350,0.7242,1.01e-03,669
1360,0.6956,9.88e-04,663
1370,0.7437,9.69e-04,668
1380,0.7073,9.49e-04,683
1390,0.7453,9.30e-04,682
1400,0.7321,9.12e-04,2532
1410,0.7730,8.93e-04,700
1420,0.7564,8.75e-04,692
1430,0.6851,8.56e-04,684
1440,0.7220,8.39e-04,675
1450,0.6873,8.21e-04,681
1460,0.6895,8.03e-04,694
1470,0.7140,7.86e-04,750
1480,0.7106,7.69e-04,695
1490,0.6961,7.52e-04,708
1500,0.7265,7.36e-04,709
1510,0.6776,7.19e-04,713
1520,0.7152,7.03e-04,713
1530,0.6912,6.88e-04,719
1540,0.7126,6.72e-04,726
1550,0.6747,6.57e-04,785
1560,0.7189,6.42e-04,731
1570,0.6757,6.27e-04,729
1580,0.6950,6.13e-04,743
1590,0.6820,5.99e-04,754
1600,0.6988,5.85e-04,2808
1610,0.6596,5.71e-04,759
1620,0.6084,5.58e-04,698
1630,0.6998,5.45e-04,663
1640,0.6869,5.32e-04,665
1650,0.6775,5.20e-04,670
1660,0.6972,5.08e-04,682
1670,0.6645,4.96e-04,683
1680,0.6695,4.85e-04,683
1690,0.6407,4.73e-04,731
1700,0.6986,4.63e-04,684
1710,0.6011,4.52e-04,697
1720,0.6629,4.42e-04,691
1730,0.6758,4.32e-04,682
1740,0.6955,4.23e-04,690
1750,0.6419,4.14e-04,692
1760,0.6814,4.05e-04,697
1770,0.6686,3.96e-04,752
1780,0.6860,3.88e-04,701
1790,0.6216,3.81e-04,704
1800,0.6836,3.73e-04,2565
1810,0.6637,3.66e-04,722
1820,0.6709,3.59e-04,729
1830,0.6496,3.53e-04,791
1840,0.6451,3.47e-04,729
1850,0.6611,3.41e-04,736
1860,0.6392,3.36e-04,738
1870,0.6610,3.31e-04,745
1880,0.6568,3.26e-04,754
1890,0.5980,3.22e-04,761
1900,0.6410,3.18e-04,819
1910,0.6332,3.15e-04,762
1920,0.6677,3.12e-04,686
1930,0.5713,3.09e-04,663
1940,0.6531,3.07e-04,664
1950,0.6600,3.05e-04,673
1960,0.5808,3.03e-04,682
1970,0.6473,3.02e-04,684
1980,0.6119,3.01e-04,690
