iter,train_loss,lr,ms_per_iter
0,4.5744,9.90e-06,1014
10,2.9963,1.09e-04,723
20,2.6760,2.08e-04,705
30,2.5454,3.07e-04,706
40,2.4819,4.06e-04,721
50,2.4449,5.05e-04,718
60,2.4454,6.04e-04,731
70,2.4309,7.03e-04,742
80,2.4136,8.02e-04,723
90,2.4132,9.01e-04,722
100,2.4008,1.00e-03,1792
110,2.3657,1.00e-03,755
120,2.3283,9.99e-04,783
130,2.3016,9.98e-04,754
140,2.2257,9.96e-04,742
150,2.1063,9.93e-04,730
160,2.0564,9.90e-04,726
170,1.9681,9.87e-04,724
180,1.8732,9.83e-04,725
190,1.8845,9.78e-04,746
200,1.7194,9.73e-04,1792
210,1.7049,9.67e-04,762
220,1.6331,9.61e-04,734
230,1.5171,9.54e-04,735
240,1.4962,9.47e-04,711
250,1.4550,9.40e-04,722
260,1.3865,9.32e-04,721
270,1.3659,9.23e-04,734
280,1.3205,9.14e-04,732
290,1.2887,9.05e-04,726
300,1.2261,8.95e-04,1754
310,1.2391,8.84e-04,723
320,1.1909,8.74e-04,733
330,1.1855,8.63e-04,742
340,1.1471,8.51e-04,740
350,1.1357,8.39e-04,744
360,1.1249,8.27e-04,914
370,1.0721,8.15e-04,778
380,1.1201,8.02e-04,771
390,1.1093,7.88e-04,730
400,1.1216,7.75e-04,1775
410,1.0743,7.61e-04,819
420,1.0691,7.47e-04,737
430,1.0192,7.33e-04,736
440,1.0491,7.19e-04,760
450,1.0047,7.04e-04,730
460,0.9773,6.89e-04,723
470,1.0166,6.74e-04,726
480,1.0081,6.59e-04,731
490,0.9999,6.44e-04,724
500,0.9992,6.28e-04,1758
510,0.9624,6.13e-04,738
520,1.0063,5.97e-04,768
530,0.9234,5.81e-04,760
540,0.9665,5.66e-04,740
550,0.9332,5.50e-04,750
560,0.9035,5.34e-04,745
570,0.8944,5.19e-04,732
580,0.9183,5.03e-04,755
590,0.9077,4.87e-04,729
600,0.9020,4.72e-04,1767
610,0.9145,4.56e-04,722
620,0.8705,4.41e-04,721
630,0.8944,4.26e-04,734
640,0.8711,4.11e-04,730
650,0.8410,3.96e-04,724
660,0.9053,3.81e-04,729
670,0.8619,3.67e-04,724
680,0.8480,3.53e-04,712
690,0.8702,3.39e-04,731
700,0.8772,3.25e-04,1733
710,0.8247,3.12e-04,730
720,0.8550,2.98e-04,726
730,0.8139,2.85e-04,723
740,0.8406,2.73e-04,734
750,0.8703,2.61e-04,739
760,0.8324,2.49e-04,722
770,0.8229,2.37e-04,724
780,0.7989,2.26e-04,724
790,0.8237,2.16e-04,720
800,0.8081,2.05e-04,1702
810,0.7983,1.95e-04,720
820,0.8382,1.86e-04,723
830,0.8050,1.77e-04,721
840,0.8153,1.68e-04,723
850,0.7910,1.60e-04,722
860,0.7877,1.53e-04,720
870,0.7655,1.46e-04,717
880,0.8143,1.39e-04,714
890,0.7841,1.33e-04,729
900,0.7737,1.27e-04,1725
910,0.7925,1.22e-04,718
920,0.8000,1.17e-04,720
930,0.7922,1.13e-04,722
940,0.7342,1.10e-04,723
950,0.7791,1.07e-04,722
960,0.7472,1.04e-04,720
970,0.7551,1.02e-04,718
980,0.7519,1.01e-04,718
990,0.7546,1.00e-04,721
