iter,train_loss,lr,ms_per_iter
0,4.4692,9.90e-06,533
10,3.3827,1.09e-04,339
20,2.9510,2.08e-04,358
30,2.7039,3.07e-04,357
40,2.5599,4.06e-04,346
50,2.5095,5.05e-04,354
60,2.4872,6.04e-04,347
70,2.4484,7.03e-04,355
80,2.4734,8.02e-04,351
90,2.4295,9.01e-04,350
100,2.4580,1.00e-03,840
110,2.4402,1.00e-03,359
120,2.4160,9.99e-04,350
130,2.4326,9.98e-04,353
140,2.4377,9.96e-04,350
150,2.3947,9.93e-04,359
160,2.3851,9.90e-04,344
170,2.4056,9.87e-04,356
180,2.4049,9.83e-04,350
190,2.3847,9.78e-04,352
200,2.3927,9.73e-04,823
210,2.3884,9.67e-04,327
220,2.3789,9.61e-04,332
230,2.3711,9.54e-04,329
240,2.3372,9.47e-04,336
250,2.3258,9.40e-04,352
260,2.2831,9.32e-04,332
270,2.2600,9.23e-04,325
280,2.2179,9.14e-04,324
290,2.2356,9.05e-04,323
300,2.1962,8.95e-04,806
310,2.1719,8.84e-04,346
320,2.1372,8.74e-04,340
330,2.0856,8.63e-04,344
340,2.0289,8.51e-04,346
350,1.9459,8.39e-04,347
360,1.9043,8.27e-04,349
370,1.9197,8.15e-04,343
380,1.8303,8.02e-04,342
390,1.8610,7.88e-04,351
400,1.7338,7.75e-04,844
410,1.6507,7.61e-04,341
420,1.6756,7.47e-04,344
430,1.6521,7.33e-04,341
440,1.6095,7.19e-04,347
450,1.5607,7.04e-04,355
460,1.5157,6.89e-04,354
470,1.5027,6.74e-04,348
480,1.4121,6.59e-04,346
490,1.4167,6.44e-04,350
500,1.4289,6.28e-04,864
510,1.3769,6.13e-04,345
520,1.3318,5.97e-04,339
530,1.3100,5.81e-04,343
540,1.3132,5.66e-04,345
550,1.3136,5.50e-04,354
560,1.2743,5.34e-04,346
570,1.2786,5.19e-04,343
580,1.2207,5.03e-04,344
590,1.2300,4.87e-04,344
600,1.2201,4.72e-04,862
610,1.3029,4.56e-04,349
620,1.1753,4.41e-04,358
630,1.1515,4.26e-04,350
640,1.2066,4.11e-04,346
650,1.1508,3.96e-04,354
660,1.1436,3.81e-04,359
670,1.1518,3.67e-04,342
680,1.0985,3.53e-04,348
690,1.1444,3.39e-04,343
700,1.1041,3.25e-04,848
710,1.1049,3.12e-04,341
720,1.1052,2.98e-04,349
730,1.0851,2.85e-04,348
740,1.1362,2.73e-04,345
750,1.0884,2.61e-04,349
760,1.0663,2.49e-04,356
770,1.0457,2.37e-04,345
780,1.0579,2.26e-04,358
790,1.0937,2.16e-04,347
800,1.0295,2.05e-04,873
810,1.0882,1.95e-04,338
820,1.1022,1.86e-04,346
830,1.0323,1.77e-04,353
840,1.0608,1.68e-04,348
850,1.0403,1.60e-04,355
860,1.0214,1.53e-04,358
870,1.0755,1.46e-04,355
880,1.0462,1.39e-04,352
890,1.0073,1.33e-04,364
900,0.9779,1.27e-04,1049
910,0.9909,1.22e-04,359
920,0.9907,1.17e-04,387
930,1.0135,1.13e-04,363
940,0.9937,1.10e-04,365
950,1.0317,1.07e-04,372
960,0.9609,1.04e-04,373
970,0.9734,1.02e-04,356
980,0.9926,1.01e-04,356
990,1.0188,1.00e-04,352
