iter,train_loss,lr,ms_per_iter
0,4.4609,2.97e-06,382
10,3.6677,3.27e-05,238
20,3.3589,6.24e-05,251
30,3.0469,9.21e-05,254
40,2.8776,1.22e-04,286
50,2.7270,1.51e-04,255
60,2.6079,1.81e-04,252
70,2.5423,2.11e-04,249
80,2.5072,2.41e-04,252
90,2.4796,2.70e-04,251
100,2.4668,3.00e-04,622
110,2.4700,3.00e-04,297
120,2.4440,3.00e-04,302
130,2.4422,2.99e-04,258
140,2.4445,2.99e-04,334
150,2.4047,2.98e-04,294
160,2.3924,2.97e-04,275
170,2.4003,2.96e-04,265
180,2.3775,2.95e-04,266
190,2.3762,2.93e-04,264
200,2.3632,2.92e-04,676
210,2.3580,2.90e-04,294
220,2.3198,2.88e-04,277
230,2.3106,2.86e-04,266
240,2.3005,2.84e-04,265
250,2.2671,2.82e-04,265
260,2.2657,2.79e-04,267
270,2.2199,2.77e-04,264
280,2.1733,2.74e-04,270
290,2.1594,2.71e-04,268
300,2.1359,2.68e-04,626
310,2.0971,2.65e-04,276
320,2.0730,2.62e-04,268
330,2.0107,2.59e-04,270
340,2.0069,2.55e-04,271
350,1.9696,2.52e-04,274
360,1.9372,2.48e-04,284
370,1.8766,2.44e-04,280
380,1.8783,2.40e-04,301
390,1.8822,2.37e-04,290
400,1.8007,2.32e-04,662
410,1.7570,2.28e-04,263
420,1.7535,2.24e-04,270
430,1.7582,2.20e-04,301
440,1.6804,2.16e-04,268
450,1.7047,2.11e-04,263
460,1.6939,2.07e-04,274
470,1.6401,2.02e-04,293
480,1.6545,1.98e-04,265
490,1.6475,1.93e-04,264
500,1.5928,1.88e-04,613
510,1.5732,1.84e-04,265
520,1.5491,1.79e-04,261
530,1.5319,1.74e-04,290
540,1.4753,1.70e-04,271
550,1.4996,1.65e-04,265
560,1.4186,1.60e-04,288
570,1.4498,1.56e-04,271
580,1.4172,1.51e-04,261
590,1.4493,1.46e-04,268
600,1.3592,1.42e-04,610
610,1.3770,1.37e-04,263
620,1.3675,1.32e-04,262
630,1.3221,1.28e-04,266
640,1.3682,1.23e-04,263
650,1.3342,1.19e-04,259
660,1.3055,1.14e-04,260
670,1.3214,1.10e-04,262
680,1.3358,1.06e-04,261
690,1.3285,1.02e-04,269
700,1.3002,9.75e-05,632
710,1.3027,9.35e-05,267
720,1.3203,8.95e-05,258
730,1.3174,8.56e-05,268
740,1.3051,8.19e-05,262
750,1.2937,7.82e-05,258
760,1.2857,7.47e-05,259
770,1.2269,7.12e-05,259
780,1.2336,6.79e-05,260
790,1.2505,6.47e-05,258
800,1.1965,6.16e-05,603
810,1.2321,5.86e-05,267
820,1.2377,5.58e-05,267
830,1.2598,5.31e-05,263
840,1.2254,5.05e-05,272
850,1.2068,4.81e-05,265
860,1.2532,4.58e-05,261
870,1.2562,4.37e-05,258
880,1.2236,4.17e-05,273
890,1.1569,3.98e-05,267
900,1.2192,3.81e-05,599
910,1.2119,3.66e-05,258
920,1.1861,3.52e-05,257
930,1.2104,3.40e-05,266
940,1.2262,3.30e-05,259
950,1.1737,3.21e-05,259
960,1.1831,3.13e-05,278
970,1.1858,3.07e-05,265
980,1.2179,3.03e-05,259
990,1.1989,3.01e-05,258
