iter,train_loss,lr,ms_per_iter
0,4.5744,9.90e-06,1261
10,2.9963,1.09e-04,886
20,2.6760,2.08e-04,810
30,2.5454,3.07e-04,783
40,2.4819,4.06e-04,778
50,2.4449,5.05e-04,810
60,2.4454,6.04e-04,796
70,2.4309,7.03e-04,809
80,2.4136,8.02e-04,774
90,2.4132,9.01e-04,762
100,2.4006,1.00e-03,1887
110,2.3658,1.00e-03,780
120,2.3284,9.99e-04,778
130,2.3027,9.98e-04,820
140,2.2015,9.96e-04,856
150,2.1056,9.93e-04,789
160,2.0515,9.90e-04,783
170,1.9518,9.87e-04,813
180,1.8546,9.83e-04,796
190,1.8128,9.78e-04,769
200,1.7044,9.73e-04,1886
210,1.6777,9.67e-04,825
220,1.6466,9.61e-04,795
230,1.5083,9.54e-04,814
240,1.4825,9.47e-04,790
250,1.4553,9.40e-04,755
260,1.4045,9.32e-04,769
270,1.3917,9.23e-04,778
280,1.3052,9.14e-04,800
290,1.2777,9.05e-04,816
300,1.2233,8.95e-04,2003
310,1.2288,8.84e-04,794
320,1.2074,8.74e-04,753
330,1.1854,8.63e-04,760
340,1.1496,8.51e-04,753
350,1.1389,8.39e-04,755
360,1.1261,8.27e-04,762
370,1.0700,8.15e-04,765
380,1.1280,8.02e-04,751
390,1.1016,7.88e-04,841
400,1.1192,7.75e-04,2041
410,1.0708,7.61e-04,817
420,1.0667,7.47e-04,750
430,1.0141,7.33e-04,696
440,1.0472,7.19e-04,736
450,1.0035,7.04e-04,1487
460,0.9806,6.89e-04,1783
470,1.0170,6.74e-04,925
480,1.0091,6.59e-04,771
490,0.9970,6.44e-04,781
500,1.0016,6.28e-04,1994
510,0.9679,6.13e-04,755
520,1.0108,5.97e-04,790
530,0.9211,5.81e-04,746
540,0.9698,5.66e-04,735
550,0.9302,5.50e-04,744
560,0.9084,5.34e-04,721
570,0.9003,5.19e-04,737
580,0.9216,5.03e-04,742
590,0.9104,4.87e-04,725
600,0.9033,4.72e-04,1699
610,0.9185,4.56e-04,703
620,0.8722,4.41e-04,690
630,0.8936,4.26e-04,682
640,0.8653,4.11e-04,685
650,0.8390,3.96e-04,685
660,0.9071,3.81e-04,686
670,0.8558,3.67e-04,688
680,0.8425,3.53e-04,684
690,0.8726,3.39e-04,690
700,0.8651,3.25e-04,1651
710,0.8224,3.12e-04,703
720,0.8482,2.98e-04,695
730,0.8127,2.85e-04,705
740,0.8397,2.73e-04,689
750,0.8688,2.61e-04,693
760,0.8317,2.49e-04,703
770,0.8213,2.37e-04,682
780,0.7960,2.26e-04,716
790,0.8237,2.16e-04,703
800,0.8066,2.05e-04,1654
810,0.7920,1.95e-04,681
820,0.8413,1.86e-04,686
830,0.7985,1.77e-04,684
840,0.8171,1.68e-04,693
850,0.7984,1.60e-04,690
860,0.7909,1.53e-04,688
870,0.7639,1.46e-04,689
880,0.8051,1.39e-04,683
890,0.7871,1.33e-04,690
900,0.7747,1.27e-04,1655
910,0.7853,1.22e-04,693
920,0.8019,1.17e-04,709
930,0.7930,1.13e-04,710
940,0.7317,1.10e-04,695
950,0.7770,1.07e-04,700
960,0.7565,1.04e-04,703
970,0.7558,1.02e-04,706
980,0.7493,1.01e-04,739
990,0.7501,1.00e-04,745
