iter,train_loss,lr,ms_per_iter
0,4.4979,9.90e-06,288
10,3.4696,1.09e-04,199
20,3.0087,2.08e-04,208
30,2.7586,3.07e-04,208
40,2.5916,4.06e-04,209
50,2.5232,5.05e-04,209
60,2.4380,6.04e-04,209
70,2.4362,7.03e-04,209
80,2.4055,8.02e-04,209
90,2.4048,9.01e-04,209
100,2.3487,1.00e-03,483
110,2.3291,1.00e-03,210
120,2.2964,9.99e-04,211
130,2.2328,9.98e-04,210
140,2.1130,9.96e-04,210
150,2.0657,9.93e-04,210
160,2.0009,9.90e-04,210
170,1.9278,9.87e-04,210
180,1.8516,9.83e-04,210
190,1.7910,9.78e-04,210
200,1.7308,9.73e-04,483
210,1.6963,9.67e-04,211
220,1.6262,9.61e-04,211
230,1.5805,9.54e-04,211
240,1.5264,9.47e-04,211
250,1.4866,9.40e-04,211
260,1.4345,9.32e-04,211
270,1.4073,9.23e-04,211
280,1.3899,9.14e-04,211
290,1.3719,9.05e-04,211
300,1.3274,8.95e-04,484
310,1.3227,8.84e-04,210
320,1.3038,8.74e-04,211
330,1.2820,8.63e-04,211
340,1.2370,8.51e-04,211
350,1.2162,8.39e-04,211
360,1.2466,8.27e-04,211
370,1.1900,8.15e-04,211
380,1.2039,8.02e-04,211
390,1.1581,7.88e-04,211
400,1.1540,7.75e-04,483
410,1.1263,7.61e-04,211
420,1.1234,7.47e-04,211
430,1.0916,7.33e-04,211
440,1.0882,7.19e-04,211
450,1.0766,7.04e-04,211
460,1.0662,6.89e-04,211
470,1.0702,6.74e-04,211
480,1.0790,6.59e-04,211
490,1.0625,6.44e-04,211
500,1.0551,6.28e-04,484
510,1.0383,6.13e-04,211
520,1.0426,5.97e-04,211
530,1.0170,5.81e-04,211
540,1.0400,5.66e-04,211
550,1.0393,5.50e-04,211
560,1.0395,5.34e-04,211
570,1.0160,5.19e-04,211
580,1.0007,5.03e-04,211
590,0.9676,4.87e-04,211
600,0.9815,4.72e-04,484
610,0.9777,4.56e-04,211
620,0.9520,4.41e-04,211
630,0.9468,4.26e-04,211
640,0.9841,4.11e-04,211
650,0.9326,3.96e-04,211
660,0.9647,3.81e-04,211
670,0.9112,3.67e-04,211
680,0.9135,3.53e-04,211
690,0.9127,3.39e-04,211
700,0.9431,3.25e-04,484
710,0.9230,3.12e-04,211
720,0.9396,2.98e-04,211
730,0.9235,2.85e-04,211
740,0.9290,2.73e-04,211
750,0.9379,2.61e-04,211
760,0.9439,2.49e-04,211
770,0.9065,2.37e-04,211
780,0.9379,2.26e-04,211
790,0.9035,2.16e-04,211
800,0.9060,2.05e-04,484
810,0.8752,1.95e-04,211
820,0.8790,1.86e-04,211
830,0.8661,1.77e-04,211
840,0.8963,1.68e-04,211
850,0.8774,1.60e-04,211
860,0.9025,1.53e-04,211
870,0.9191,1.46e-04,211
880,0.8628,1.39e-04,211
890,0.8530,1.33e-04,211
900,0.8762,1.27e-04,485
910,0.8693,1.22e-04,211
920,0.8853,1.17e-04,211
930,0.8500,1.13e-04,211
940,0.8732,1.10e-04,211
950,0.8861,1.07e-04,211
960,0.8498,1.04e-04,211
970,0.8490,1.02e-04,212
980,0.8748,1.01e-04,211
990,0.8496,1.00e-04,211
