step,train_loss,lr,s_per_step,tokens_seen
0,3.2469,3.00e-06,11.5,4096
1,3.1408,6.00e-06,17.1,8192
2,2.8538,9.00e-06,16.5,12288
3,3.3010,1.20e-05,15.9,16384
4,3.0600,1.50e-05,17.7,20480
5,2.9806,1.80e-05,14.2,24576
6,2.7330,2.10e-05,14.4,28672
7,3.1028,2.40e-05,14.4,32768
8,2.7759,2.70e-05,19.1,36864
9,2.9411,3.00e-05,21.3,40960
10,2.9037,3.00e-05,21.6,45056
11,2.9460,3.00e-05,12.8,49152
12,3.1145,3.00e-05,11.5,53248
13,2.9949,3.00e-05,14.6,57344
14,2.9961,3.00e-05,14.6,61440
15,3.0035,3.00e-05,12.9,65536
16,2.7106,3.00e-05,13.0,69632
17,2.5753,3.00e-05,13.7,73728
18,2.8331,3.00e-05,16.8,77824
19,2.9138,2.99e-05,14.0,81920
20,2.8629,2.99e-05,14.1,86016
21,2.8283,2.99e-05,17.5,90112
22,2.6460,2.99e-05,17.5,94208
23,2.9330,2.99e-05,13.9,98304
24,2.8511,2.99e-05,12.4,102400
25,2.8262,2.98e-05,13.2,106496
26,2.5243,2.98e-05,11.3,110592
27,2.7847,2.98e-05,17.0,114688
28,2.9375,2.98e-05,12.4,118784
29,2.6990,2.98e-05,12.4,122880
30,2.7753,2.97e-05,9.5,126976
31,2.8926,2.97e-05,10.6,131072
32,2.5191,2.97e-05,10.7,135168
33,2.5424,2.96e-05,10.9,139264
34,2.8171,2.96e-05,9.9,143360
35,2.7648,2.96e-05,10.4,147456
36,2.7236,2.95e-05,13.6,151552
37,2.7424,2.95e-05,11.4,155648
38,2.7912,2.95e-05,10.4,159744
39,2.7083,2.94e-05,11.4,163840
40,2.5912,2.94e-05,25.7,167936
41,2.6859,2.93e-05,28.6,172032
42,2.6927,2.93e-05,20.5,176128
43,2.8384,2.93e-05,26.3,180224
44,2.5686,2.92e-05,20.5,184320
45,2.5672,2.92e-05,13.8,188416
46,2.4355,2.91e-05,17.4,192512
47,2.6539,2.91e-05,12.8,196608
48,2.4713,2.90e-05,11.9,200704
49,2.5780,2.90e-05,10.4,204800
50,2.7561,2.89e-05,11.9,208896
51,2.5953,2.89e-05,13.0,212992
52,2.7522,2.88e-05,10.1,217088
53,2.6267,2.87e-05,10.5,221184
