step,train_loss,lr,s_per_step,tokens_seen
0,2.7932,2.00e-05,33.7,4096
1,2.8291,4.00e-05,31.8,8192
2,2.6942,6.00e-05,30.7,12288
3,2.9449,8.00e-05,29.2,16384
4,2.6814,1.00e-04,30.9,20480
5,2.7651,1.20e-04,28.1,24576
6,2.6820,1.40e-04,27.9,28672
7,2.7977,1.60e-04,28.2,32768
8,2.7044,1.80e-04,29.8,36864
9,2.3498,2.00e-04,29.0,40960
10,2.5071,2.00e-04,29.5,45056
11,2.6733,2.00e-04,28.2,49152
12,2.5428,2.00e-04,27.8,53248
13,2.6171,2.00e-04,28.1,57344
14,2.6340,2.00e-04,28.0,61440
15,2.5510,2.00e-04,27.3,65536
16,2.8452,2.00e-04,30.8,69632
17,2.3691,2.00e-04,30.4,73728
18,2.4430,2.00e-04,30.0,77824
19,2.3318,2.00e-04,29.3,81920
20,2.4894,2.00e-04,28.6,86016
21,2.4468,1.99e-04,29.4,90112
22,2.4506,1.99e-04,31.7,94208
23,2.5497,1.99e-04,29.9,98304
24,2.3107,1.99e-04,29.7,102400
25,2.3182,1.99e-04,30.0,106496
26,2.6676,1.99e-04,28.8,110592
27,2.4140,1.99e-04,29.7,114688
28,2.6650,1.99e-04,29.1,118784
29,2.5099,1.98e-04,29.8,122880
30,2.4533,1.98e-04,29.4,126976
31,2.7148,1.98e-04,29.2,131072
32,2.4462,1.98e-04,28.2,135168
33,2.3518,1.98e-04,29.6,139264
34,2.5001,1.97e-04,28.4,143360
35,2.4738,1.97e-04,29.1,147456
36,2.4796,1.97e-04,29.2,151552
37,2.6133,1.97e-04,28.1,155648
38,2.4136,1.96e-04,28.1,159744
39,2.1649,1.96e-04,27.5,163840
40,2.3428,1.96e-04,28.4,167936
41,2.4755,1.96e-04,27.9,172032
42,2.2062,1.95e-04,27.3,176128
43,2.6023,1.95e-04,28.2,180224
44,2.5901,1.95e-04,27.1,184320
45,2.3263,1.94e-04,27.0,188416
46,2.2138,1.94e-04,27.3,192512
47,2.5144,1.94e-04,27.5,196608
48,2.2848,1.93e-04,28.2,200704
49,2.3791,1.93e-04,28.6,204800
50,2.3405,1.93e-04,27.5,208896
51,2.5705,1.92e-04,27.4,212992
52,2.1617,1.92e-04,27.1,217088
53,2.3728,1.92e-04,27.2,221184
54,2.1814,1.91e-04,27.6,225280
55,2.2001,1.91e-04,27.7,229376
56,2.3039,1.90e-04,27.2,233472
57,2.5100,1.90e-04,27.8,237568
58,2.3029,1.90e-04,28.0,241664
59,2.5099,1.89e-04,27.4,245760
60,2.4933,1.89e-04,27.5,249856
61,2.5544,1.88e-04,27.5,253952
62,2.5208,1.88e-04,27.4,258048
63,2.2513,1.87e-04,27.1,262144
64,2.1641,1.87e-04,26.7,266240
65,2.4185,1.86e-04,27.4,270336
66,2.3615,1.86e-04,27.2,274432
67,2.3061,1.85e-04,27.8,278528
68,2.3663,1.85e-04,26.9,282624
69,2.4370,1.84e-04,27.8,286720
70,2.4436,1.84e-04,27.6,290816
71,2.5294,1.83e-04,27.5,294912
72,2.4639,1.83e-04,26.9,299008
73,2.3838,1.82e-04,27.2,303104
74,2.4001,1.82e-04,30.7,307200
75,2.1219,1.81e-04,32.2,311296
76,2.5199,1.81e-04,29.0,315392
77,2.1914,1.80e-04,29.4,319488
78,2.3131,1.79e-04,29.8,323584
79,2.0836,1.79e-04,35.1,327680
80,2.2533,1.78e-04,28.6,331776
81,2.4564,1.78e-04,27.9,335872
82,1.9496,1.77e-04,28.9,339968
83,2.2808,1.76e-04,28.3,344064
84,2.2780,1.76e-04,27.0,348160
85,2.0286,1.75e-04,27.5,352256
86,2.2619,1.75e-04,29.1,356352
87,2.3933,1.74e-04,27.3,360448
88,2.1741,1.73e-04,71.8,364544
89,2.2749,1.73e-04,76.1,368640
90,2.3532,1.72e-04,82.2,372736
91,2.2474,1.71e-04,80.9,376832
92,2.4385,1.71e-04,52.8,380928
93,2.2342,1.70e-04,51.7,385024
94,2.4405,1.69e-04,53.3,389120
95,2.2668,1.69e-04,50.9,393216
96,2.1945,1.68e-04,51.0,397312
97,2.3467,1.67e-04,51.7,401408
98,2.2079,1.67e-04,52.0,405504
99,2.3775,1.66e-04,50.5,409600
100,2.4111,1.65e-04,51.3,413696
101,2.2843,1.64e-04,51.8,417792
102,2.4238,1.64e-04,52.8,421888
103,2.4213,1.63e-04,51.5,425984
104,2.5834,1.62e-04,52.1,430080
105,2.1465,1.61e-04,52.3,434176
106,2.1271,1.61e-04,53.2,438272
107,1.9475,1.60e-04,74.2,442368
108,2.0384,1.59e-04,80.8,446464
109,2.3882,1.58e-04,103.1,450560
110,2.1466,1.58e-04,87.2,454656
111,2.3606,1.57e-04,87.8,458752
112,2.3699,1.56e-04,87.1,462848
113,2.4449,1.55e-04,81.9,466944
114,2.1449,1.54e-04,78.2,471040
115,2.3811,1.54e-04,72.4,475136
116,2.3184,1.53e-04,71.3,479232
117,2.5190,1.52e-04,47.4,483328
118,1.9683,1.51e-04,45.7,487424
119,2.3506,1.50e-04,43.7,491520
120,2.0344,1.50e-04,43.3,495616
