iter,train_loss,lr,ms_per_iter
0,4.5765,9.90e-06,2130
10,3.0011,1.09e-04,747
20,2.6857,2.08e-04,769
30,2.5317,3.07e-04,748
40,2.4755,4.06e-04,764
50,2.4502,5.05e-04,799
60,2.4333,6.04e-04,793
70,2.4357,7.03e-04,797
80,2.4324,8.02e-04,748
90,2.4145,9.01e-04,766
100,2.4149,1.00e-03,775
110,2.3538,1.00e-03,745
120,2.3319,1.00e-03,743
130,2.3191,9.99e-04,795
140,2.2199,9.99e-04,745
150,2.1016,9.98e-04,780
160,2.0298,9.98e-04,746
170,1.9651,9.97e-04,740
180,1.8338,9.96e-04,770
190,1.7966,9.95e-04,760
200,1.7550,9.94e-04,2844
210,1.6659,9.93e-04,753
220,1.5974,9.91e-04,737
230,1.5676,9.90e-04,757
240,1.4844,9.88e-04,751
250,1.4520,9.86e-04,732
260,1.3688,9.84e-04,736
270,1.3476,9.82e-04,719
280,1.3013,9.80e-04,748
290,1.3170,9.78e-04,745
300,1.2197,9.76e-04,720
310,1.2290,9.73e-04,693
320,1.2000,9.71e-04,715
330,1.1797,9.68e-04,708
340,1.1350,9.65e-04,743
350,1.1368,9.62e-04,728
360,1.1322,9.59e-04,742
370,1.0797,9.56e-04,739
380,1.1347,9.53e-04,727
390,1.1127,9.49e-04,716
400,1.1064,9.46e-04,2732
410,1.0705,9.42e-04,735
420,1.0284,9.38e-04,755
430,1.0668,9.35e-04,745
440,1.0572,9.31e-04,757
450,1.0399,9.27e-04,759
460,0.9986,9.23e-04,745
470,1.0021,9.18e-04,742
480,1.0449,9.14e-04,695
490,0.9955,9.10e-04,712
500,1.0112,9.05e-04,731
510,0.9801,9.00e-04,716
520,1.0274,8.96e-04,763
530,0.9450,8.91e-04,719
540,0.9847,8.86e-04,750
550,0.9393,8.81e-04,762
560,0.9248,8.76e-04,767
570,0.9102,8.71e-04,748
580,0.9339,8.66e-04,730
590,0.9189,8.60e-04,717
600,0.9056,8.55e-04,2697
610,0.8731,8.49e-04,710
620,0.9364,8.44e-04,751
630,0.8988,8.38e-04,832
640,0.8839,8.32e-04,730
650,0.9161,8.26e-04,732
660,0.8483,8.20e-04,737
670,0.8903,8.15e-04,749
680,0.8988,8.08e-04,736
690,0.8628,8.02e-04,757
700,0.8831,7.96e-04,778
710,0.8476,7.90e-04,746
720,0.8756,7.84e-04,767
730,0.8498,7.77e-04,780
740,0.8724,7.71e-04,751
750,0.8891,7.64e-04,757
760,0.8632,7.58e-04,776
770,0.8489,7.51e-04,740
780,0.8247,7.44e-04,742
790,0.8536,7.38e-04,824
800,0.8579,7.31e-04,2816
810,0.8259,7.24e-04,737
820,0.8313,7.17e-04,726
830,0.8001,7.10e-04,741
840,0.8465,7.03e-04,754
850,0.8152,6.96e-04,760
860,0.8102,6.89e-04,766
870,0.8230,6.82e-04,735
880,0.8262,6.75e-04,766
890,0.8181,6.68e-04,812
900,0.8012,6.60e-04,756
910,0.8065,6.53e-04,760
920,0.8256,6.46e-04,760
930,0.8150,6.39e-04,759
940,0.7512,6.31e-04,740
950,0.7940,6.24e-04,723
960,0.7689,6.17e-04,744
970,0.7758,6.09e-04,719
980,0.7671,6.02e-04,721
990,0.7744,5.95e-04,774
1000,0.7530,5.87e-04,3254
1010,0.7990,5.80e-04,760
1020,0.8102,5.72e-04,757
1030,0.7541,5.65e-04,779
1040,0.7910,5.57e-04,778
1050,0.8004,5.50e-04,757
1060,0.7290,5.43e-04,752
1070,0.7047,5.35e-04,782
1080,0.7402,5.28e-04,763
1090,0.7277,5.20e-04,802
1100,0.7520,5.13e-04,840
1110,0.7744,5.05e-04,965
1120,0.7520,4.98e-04,771
1130,0.7684,4.91e-04,757
1140,0.7207,4.83e-04,776
1150,0.7383,4.76e-04,779
1160,0.7388,4.69e-04,766
1170,0.7735,4.61e-04,807
1180,0.7238,4.54e-04,796
1190,0.7206,4.47e-04,750
1200,0.7480,4.40e-04,2856
1210,0.7105,4.32e-04,754
1220,0.7412,4.25e-04,737
1230,0.7189,4.18e-04,784
1240,0.7272,4.11e-04,730
1250,0.7386,4.04e-04,767
1260,0.7259,3.97e-04,717
1270,0.7247,3.90e-04,718
1280,0.7299,3.83e-04,744
1290,0.7254,3.76e-04,750
1300,0.7115,3.69e-04,715
1310,0.6783,3.62e-04,731
1320,0.7194,3.56e-04,718
1330,0.6968,3.49e-04,753
1340,0.7130,3.42e-04,745
1350,0.6943,3.36e-04,745
1360,0.6651,3.29e-04,738
1370,0.7078,3.23e-04,755
1380,0.6802,3.16e-04,747
1390,0.7215,3.10e-04,751
1400,0.7122,3.04e-04,2876
1410,0.7483,2.98e-04,772
1420,0.7272,2.92e-04,775
1430,0.6614,2.85e-04,762
1440,0.6969,2.80e-04,748
1450,0.6631,2.74e-04,770
1460,0.6624,2.68e-04,769
1470,0.6914,2.62e-04,740
1480,0.6885,2.56e-04,758
1490,0.6818,2.51e-04,739
1500,0.7023,2.45e-04,749
1510,0.6556,2.40e-04,747
1520,0.6929,2.34e-04,753
1530,0.6683,2.29e-04,740
1540,0.6885,2.24e-04,758
1550,0.6556,2.19e-04,734
1560,0.6943,2.14e-04,698
1570,0.6522,2.09e-04,705
1580,0.6709,2.04e-04,724
1590,0.6705,2.00e-04,755
1600,0.6695,1.95e-04,3005
1610,0.6356,1.90e-04,783
1620,0.5856,1.86e-04,838
1630,0.6860,1.82e-04,955
1640,0.6689,1.77e-04,822
1650,0.6653,1.73e-04,799
1660,0.6712,1.69e-04,861
1670,0.6415,1.65e-04,936
1680,0.6438,1.62e-04,856
1690,0.6199,1.58e-04,777
1700,0.6779,1.54e-04,790
1710,0.5835,1.51e-04,798
1720,0.6425,1.47e-04,739
1730,0.6531,1.44e-04,749
1740,0.6787,1.41e-04,766
1750,0.6303,1.38e-04,754
1760,0.6619,1.35e-04,749
1770,0.6552,1.32e-04,739
1780,0.6616,1.29e-04,778
1790,0.6127,1.27e-04,757
1800,0.6697,1.24e-04,3553
1810,0.6468,1.22e-04,880
1820,0.6521,1.20e-04,894
1830,0.6293,1.18e-04,833
1840,0.6245,1.16e-04,752
1850,0.6447,1.14e-04,716
1860,0.6263,1.12e-04,709
1870,0.6489,1.10e-04,717
1880,0.6407,1.09e-04,695
1890,0.5839,1.07e-04,715
1900,0.6182,1.06e-04,710
1910,0.6224,1.05e-04,703
1920,0.6503,1.04e-04,690
1930,0.5624,1.03e-04,713
1940,0.6396,1.02e-04,751
1950,0.6421,1.02e-04,700
1960,0.5717,1.01e-04,688
1970,0.6342,1.01e-04,729
1980,0.5962,1.00e-04,754
1990,0.5931,1.00e-04,745
